,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
5728,107107.0,Los Troche Road (Hacienda Mattei),Construcción,N/A,"Aguas Blancas Ward Hacienda Mattei Sector, Yauco, Puerto Rico, 00698",18.118433,-66.833022,A&E  MYAU068 - Aguas Blancas Ward,PA-02-PR-4339-PW-03080,65997,59397,59397,6600,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,10/03/2020,Proyecto 428
5730,107107.0,Tortugo Road,Diseño,40,,18.034185,-66.849285,MYAU108 -  Collores Ward Roads,PA-02-PR-4339-PW-03198,4172970,3755673,0,417297,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,22/12/2022,Proyecto 428
5732,107107.0,La Parra Road,Diseño,5,,18.103738,-66.847379,A&E Duey Ward Roads,PA-02-PR-4339-PW-03200,224420,201978,0,22442,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,29/04/2020,Proyecto 428
5734,107107.0,Cruzadas Road Culvert #2,Diseño,0,"Duey Ward Cruzadas Sector, Yauco, Puerto Rico, 00698",18.084661,-66.839635,A&E Duey Ward Roads,PA-02-PR-4339-PW-03200,224420,201978,0,22442,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,29/04/2020,Proyecto 428
5736,107107.0,Bravos de Boston  Lanscaped Gardens,Adquisición de construcción,,,18.430892,-66.042407,"MSJM221 Bravos de Boston, Santurce, Shangai Playita and Victoria Community Parks and Playgrounds",PA-02-PR-4339-PW-06123,40710,36639,36639,4071,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/10/2020,Proyecto 406
5738,107107.0,La Maga Culvert,Construcción,N/A,"Yauco, Puerto Rico, 00698",18.03334,-66.851921,A&E MYAU054 - Naranjo Ward,PA-02-PR-4339-PW-03781,77374,69637,69637,7737,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,01/09/2020,Proyecto 428
5740,107107.0,La Loma Sector Road,Diseño,40,,18.09288,-66.84144,"La Loma, La Badea y Vuelta al Lago Roads",PA-02-PR-4339-PW-04184,2724012,2451611,51187,272401,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,27/12/2022,Proyecto 428
5742,107107.0,Vuelta al lago,Diseño,40,,18.093,-66.8775,"La Loma, La Badea y Vuelta al Lago Roads",PA-02-PR-4339-PW-04184,2724012,2451611,51187,272401,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,27/12/2022,Proyecto 428
5744,107107.0,Los Badea Sector Culvert,Diseño,40,,18.089441,-66.844398,"La Loma, La Badea y Vuelta al Lago Roads",PA-02-PR-4339-PW-04184,2724012,2451611,51187,272401,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,27/12/2022,Proyecto 428
5746,107107.0,Baseball Park Luis Guillermo Moreno and Office of recreation and sports,Construcción,85,"Bo Playa PR #538 Km 0.9, Santa Isabel, Puerto Rico, 00757",17.95705,-66.403981,Baseball Park Luis G. Moreno( Santa Isabel),PA-02-PR-4339-PW-01574,1030073,927066,393816,103007,Santa Isabel,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/06/2021,Proyecto 428
5748,107107.0,Shangai  Playita Commmunity Nuestros Niños Playground,Adquisición de construcción,,"Calle 1 Marginal Baldorioty, SAN JUAN, Puerto Rico, 00915",18.444306,-66.046283,"MSJM221 Bravos de Boston, Santurce, Shangai Playita and Victoria Community Parks and Playgrounds",PA-02-PR-4339-PW-06123,40710,36639,36639,4071,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/10/2020,Proyecto 406
5750,107107.0,Victoria  Community Park and Nuestros Niños Playground,Adquisición de construcción,,"Calle Lealtad Calle Calma, SAN JUAN, Puerto Rico, 00923",18.400838,-66.040256,"MSJM221 Bravos de Boston, Santurce, Shangai Playita and Victoria Community Parks and Playgrounds",PA-02-PR-4339-PW-06123,40710,36639,36639,4071,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/10/2020,Proyecto 406
5752,107107.0,Santa Clara Road,Diseño,10,,18.034185,-66.849285,A&E  MYAU079 - Rio Prieto Ward Part 2,PA-02-PR-4339-PW-04675,382247,344022,0,38225,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,23/04/2020,Proyecto 428
5754,107107.0,Albela to Cerrote Culvert #1,Diseño,10,"Albela to Cerrote Road, Yauco, Puerto Rico, 00698",18.161476,-66.82673,A&E  MYAU079 - Rio Prieto Ward Part 2,PA-02-PR-4339-PW-04675,382247,344022,0,38225,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,23/04/2020,Proyecto 428
5756,107107.0,Emergency Management Office and Municipal Police Office-Equipment,Construcción,N/A,"PR 127 Road National Guard Building, Yauco, Puerto Rico, 00698",18.031915,-66.844717,MYAU042 - Emergency Management and Municipal Police Office- Non computerized and equipment,PA-02-PR-4339-PW-06164,78973,71076,71076,7897,Yauco,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,06/08/2020,Proyecto 428
5758,107107.0,Los Álvarez Road,Diseño,15,"Frailes Ward Los Alvarez Sector, Yauco, Puerto Rico, 00698",18.113,-66.9017,A&E MYAU066 - Frailes Ward Roads,PA-02-PR-4339-PW-09875,589186,530267,0,58919,Yauco,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/03/2022,Proyecto 428
5760,107107.0,El Flamboyán Basketball Court Community Center and Walking Track,Construcción,N/A,"Calle Dominica y Samoa, SAN JUAN, Puerto Rico, 00924",18.41372,-66.00942,MSJM091 El Dorado and El Flamboyán Sports Facilities,PA-02-PR-4339-PW-07121,102343,92109,92109,10234,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/11/2020,Proyecto 406
5762,107107.0,Mansiones de Vilanova Recreational Facilities,Construcción,N/A,"Calle D, SAN JUAN, Puerto Rico, 00900",18.349033,-66.072754,MSJM101 Eduardo Conde and Vilanova Recreational Facilities ,PA-02-PR-4339-PW-07230,63978,57580,57580,6398,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/11/2020,Proyecto 406
5764,107107.0,Las Mareas Fishing Village,Diseño,0,"Comunidad Las Mareas, Barrio Aguirre, Salinas, Puerto Rico, 00751",17.942593,-66.262573,Salinas - Las Mareas Fishing Village,PA-02-PR-4339-PW-06211,535956,482360,11167,53596,Salinas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,26/08/2022,Proyecto 428
5766,107107.0,DRD CONSOLIDATED PARKS,Adquisición de construcción,,"Calle Los Angeles, San Juan, Puerto Rico, 00909",18.44055,-66.06582,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5768,107107.0,109E - Urb. Villas del Río,Adquisición de construcción,,,18.1415,-65.8194,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5770,107107.0,122 - Parkhurst Gardens,Adquisición de construcción,,,18.1776,-65.8719,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5772,107107.0,El  Señorial  López de Rueda Street Passive Park,Construcción,N/A,"Calle López de Rueda, SAN JUAN, Puerto Rico, 00926",18.35931,-66.05707,"MSJM076 Bucare II Turey street, Hill Mansion, El Señorial Becquer and Lopez Rueda  Passive Parks",PA-02-PR-4339-PW-07287,51424,46282,46282,5142,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,27/04/2021,Proyecto 406
5774,107107.0,El Señorial Becquer Street Passive Park,Construcción,N/A,"Calle Becquer, SAN JUAN, Puerto Rico, 00926",18.361294,-66.057592,"MSJM076 Bucare II Turey street, Hill Mansion, El Señorial Becquer and Lopez Rueda  Passive Parks",PA-02-PR-4339-PW-07287,51424,46282,46282,5142,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,27/04/2021,Proyecto 406
5776,107107.0,Las Cumbres II Cayey Street,Construcción,N/A,"Cayey Street, San Juan, Puerto Rico, 00900",18.43825,-66.0593,"MSJM116 La Cumbre II, III and IV Recreational Areas ",PA-02-PR-4339-PW-07291,88551,79696,79696,8855,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/01/2021,Proyecto 406
5778,107107.0,Valencia Basketball Court,Construcción,N/A,"Calle Guipuzcoa Esq. Calle Toledo, SAN JUAN, Puerto Rico, 00900",18.411729,-66.039169,MSJM081 Valencia Basketball Court,PA-02-PR-4339-PW-07353,99041,89137,89137,9904,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,10/12/2020,Proyecto 406
5780,107107.0,Hill Mansion Basketball Court,Construcción,N/A,"Calle 65 Final, SAN JUAN, Puerto Rico, 00900",18.38168,-66.033952,"MSJM079 Hill Mansion Basketball Court, La Vista Sports facility and Jardines R Oeste Landscape Garden",PA-02-PR-4339-PW-07453,110841,99757,99757,11084,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,10/12/2020,Proyecto 406
5782,107107.0,El Cerezal  Recreational Facilities,Construcción,N/A,"Calle Yukón Esq. Calle Lena, SAN JUAN, Puerto Rico, 00900",18.37553,-66.06779,MSJM104 El Cerezal Recreational Facilities,PA-02-PR-4339-PW-07515,72462,65216,65216,7246,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,22/12/2020,Proyecto 406
5784,107107.0,119E - Las Mercedes,Adquisición de construcción,,,18.1745,-65.8623,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5786,107107.0,120 - Parque Diplo 1,Adquisición de construcción,,,18.2076,-65.736,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5788,107107.0,021M - Laguna Gardens,Adquisición de construcción,,,18.4303,-66.0161,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5790,107107.0,Playita  Basketball Court,Construcción,N/A,"Calle Rafael Cepeda Atiles, SAN JUAN, Puerto Rico, 00900",18.446049,-66.043786,MSJM142 Villa Magna Park and Playita Basketball Court,PA-02-PR-4339-PW-08243,33959,30563,30563,3396,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,03/08/2021,Proyecto 406
5792,107107.0,030M - Res. El Dorado,Adquisición de construcción,,,18.4612,-66.2658,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5794,107107.0,031N - Jardines de Juncos,Adquisición de construcción,,,18.4323,-66.7455,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5796,107107.0,037N - Parque Norberto Montoyo,Adquisición de construcción,,,18.362,-66.5684,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5798,107107.0,URB. LAS ANTILLAS,Construcción,90,"PUEBLO, SALINAS, 00751",17.980188,-66.293895,"Recipient 1 - Improved / Fund Sharing Salinas - Las Mercedes, Salimar, Las Antillas & Corales del Mar Streets",PA-02-PR-4339-PW-07956,578059,520253,0,57806,Salinas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,30/01/2023,Proyecto 428
5800,107107.0,081 - Costa Brava- Efrain Irizarry Lamela,Adquisición de construcción,,,18.5031,-67.0263,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5802,107107.0,044 - Urb Villa Pinares,Adquisición de construcción,,,18.4277,-66.3927,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5804,107107.0,057- Jardines de Vega Baja Bo Algarroba,Adquisición de construcción,,,18.4495,-66.3964,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5806,107107.0,North Venus Gardens Baseball ParkTennis/Basketball court Gazebos and Soccer field,Adquisición de diseño,,"Calle Hermosillo Final, SAN JUAN, Puerto Rico, 00926",18.378137,-66.035461,MSJM224 Venus Gardens Recreational Facilities,PA-02-PR-4339-PW-08576,1437880,1294092,0,143788,San Juan,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/01/2022,Proyecto 406
5808,107107.0,059- Villas del Pilar Bo. Polo Norte Basketball Court,Adquisición de construcción,,,18.268,-65.6448,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5810,107107.0,058NE - Parcelas Vieques,Adquisición de construcción,,,18.4263,-65.8342,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5812,107107.0,112 - Parque Urb. San Jose,Adquisición de construcción,,,18.1827,-67.1655,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5814,107107.0,114 - Rio Cristal,Adquisición de construcción,,,18.1816,-67.1375,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5816,107107.0,180 - Altamira,Adquisición de construcción,,,18.288,-66.8919,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5818,107107.0,262 - Ext. Santa Teresita Park 5,Adquisición de construcción,,,18.0323,-66.6041,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5820,107107.0,115S - Juan Jose Chiguin Rivera,Adquisición de construcción,,,18.0634,-66.7262,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5822,107107.0,071 - Lomas de Country Club Bo Maguetes,Adquisición de construcción,,,18.03664,-66.622936,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5824,107107.0,167 - Valle Alto Bo Tallaboa Alta,Adquisición de construcción,,,18.0527,-66.7142,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5826,107107.0,050 - Barranquitas Public Pool,Adquisición de construcción,,,18.18287,-66.3056,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5828,107107.0,051C - Bo. Poblado Parque,Adquisición de construcción,,,18.1879,-66.3084,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5830,107107.0,213 - Urbano (Ina Calamanco) Barrio Borinquen,Adquisición de construcción,,,17.9831,-66.1198,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5832,107107.0,Sector Los Neris,Adquisición de construcción,,"Hato Ward, San Lorenzo, Puerto Rico, 00754",18.18334,-66.00142,Roads Asphalt Repair-Sector Los Neris-Sector Callo Felix-Sector Jacobo Perez-Sector Pastrana(San Lorenzo),PA-02-PR-4339-PW-03521,2738219,2464397,659783,273822,San Lorenzo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/04/2020,Proyecto 428
5834,107107.0,113NW - Ext. Villa Rita,Adquisición de construcción,,,18.3402,-67.004,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5836,107107.0,098 - Hoya Mala,Adquisición de construcción,,,18.3546,-66.9533,"Multi-Sport Parks and Recreational Facilities Los Angeles Street, (San Juan)",PA-02-PR-4339-PW-01863,45466893,40920204,10230051,4546689,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/06/2022,Proyecto 428
5838,107107.0,Urb. Bello Horizonte,Adquisición de construcción,,,17.98094,-66.09161,Efrain Bernier Sports Complex (Coamo),PA-02-PR-4339-PW-03337,4457039,4011335,0,445704,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/05/2020,Proyecto 428
5840,107107.0,214B Urb. Villa Rosa II,Adquisición de construcción,,,17.9777,-66.1044,Efrain Bernier Sports Complex (Coamo),PA-02-PR-4339-PW-03337,4457039,4011335,0,445704,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/05/2020,Proyecto 428
5842,107107.0,LAS VEGAS DE CEIBA BO. MACHOS,Adquisición de construcción,,,18.27153,-65.63937,"Parks in Northeast-Parks, Cemeteries, and Recreational Facilities(Loíza,Ceiba,Río Grande)",PA-02-PR-4339-PW-03380,2039036,1835133,0,203903,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,05/08/2022,Proyecto 428
5844,107107.0,Alturas de Rio Grande,Adquisición de construcción,,,18.37371,-65.84715,"Parks in Northeast-Parks, Cemeteries, and Recreational Facilities(Loíza,Ceiba,Río Grande)",PA-02-PR-4339-PW-03380,2039036,1835133,0,203903,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,05/08/2022,Proyecto 428
5846,107107.0,Villa El Recreo,Adquisición de construcción,,,18.05022,-65.87427,DRD Parks 3 DI's ,PA-02-PR-4339-PW-03626,249863,224877,56219,24986,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/09/2020,Proyecto 428
5848,107107.0,DRD South Region Office,Adquisición de construcción,,,17.99884,-66.58693,Department of Sports and Recreation South Region Office - (San Juan),PA-02-PR-4339-PW-04613,0,0,0,0,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,19/01/2022,Proyecto 428
5850,107107.0,Haciendas del Dorado,Adquisición de construcción,,,18.38794,-66.28827,Manuel Carrasquillo Herpen Gym (San Juan),PA-02-PR-4339-PW-04985,5891161,5302045,1325511,589116,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 428
5852,107107.0,Road 745 - Sector Los Manantiales Site 3,Adquisición de construcción,,"Espino Ward, San Lorenzo, Puerto Rico, 00754",18.11798,-66.004988,Road-Concrete Culvert Repair- Sector Vicente Pedraza -1 (San Lorenzo),PA-02-PR-4339-PW-04791,1388299,1249469,312367,138830,San Lorenzo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,06/01/2021,Proyecto 428
5854,107107.0,Medical Emergency Center- Community Center,Construcción,N/A,,18.121656,-65.994467,CARMELO FIGUEROA-CAYAGUAS - Communal Center-History Museum FE LEONOR BORGES-QUEBRADA HONDA-Communal Center-Medical Emergency Center,PA-02-PR-4339-PW-05657,99567,89610,89610,9957,San Lorenzo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,12/06/2020,Proyecto 428
5856,107107.0,Medical Emergency Center- Library,Construcción,N/A,,18.121656,-65.994467,CARMELO FIGUEROA-CAYAGUAS - Communal Center-History Museum FE LEONOR BORGES-QUEBRADA HONDA-Communal Center-Medical Emergency Center,PA-02-PR-4339-PW-05657,99567,89610,89610,9957,San Lorenzo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,12/06/2020,Proyecto 428
5858,107107.0,Sagrado Corozon,Adquisición de construcción,,,18.37162,-66.05017,Manuel Carrasquillo Herpen Gym (San Juan),PA-02-PR-4339-PW-04985,5891161,5302045,1325511,589116,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 428
5860,107107.0,224 Ext. El Tano,Adquisición de construcción,,,17.97418,-66.40491,Manuel Carrasquillo Herpen Gym (San Juan),PA-02-PR-4339-PW-04985,5891161,5302045,1325511,589116,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 428
5862,107107.0,172 Parque Urbano (Parque Ulises Arigoitia),Adquisición de construcción,,,18.1785,-65.8641,Manuel Carrasquillo Herpen Gym (San Juan),PA-02-PR-4339-PW-04985,5891161,5302045,1325511,589116,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 428
5864,107107.0,Monte Carlo,Adquisición de construcción,,,18.44785,-66.39263,MDSR049 - Parks in North Region,PA-02-PR-4339-PW-05073,291163,262047,0,29116,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,04/08/2020,Proyecto 428
5866,107107.0,DRD Southeast Office - Centro Deportivo,Adquisición de construcción,,,17.97994,-66.11514,Deportive Center Southeast Office (Guayama),PA-02-PR-4339-PW-05575,1365374,1228837,0,136537,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 428
5868,107107.0,042 Playa Azul,Adquisición de construcción,,,18.38114,-65.71938,MDSR027 East Parks,PA-02-PR-4339-PW-10275,798843,718959,0,79884,Departamento de Recreación y Deportes,Huracán María (4339),Recursos Naturales y Culturales,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/02/2022,Proyecto 428
5870,107107.0,Los Mendez Road,Adquisición de construcción,,,18.143616,-67.025094,MSAN035 - Los Mendez Road,PA-02-PR-4339-PW-03564,409611,368650,0,40961,San Germán,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,07/07/2020,Proyecto 406
5872,107107.0,Cuchy Ayala Road,Adquisición de diseño,,,18.13423,-67.05042,Roads-Asphalt Repair - Road 119 Km 76.9 Interíor (San Germán),PA-02-PR-4339-PW-06650,1912346,1721111,430278,191235,San Germán,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,11/12/2020,Proyecto 406
